URL,Title,Title2,Address,Price,Description,VIN,Condition,Cylinders,Drive,Fuel,Odometer,Color,Size,TitleStatus,Transmission,Type
https://seattle.craigslist.org/see/cto/d/2004-silverado-z71-4x4/6629595607.html,2004 Silverado Z71 4x4,2004 chevy silverado 1500 Z71,Renton,1,"Selling my 2004 Z71 Silverado 5.3L V8 4x4. 212,000 miles, daily driver so miles will go up. Runs/drives well and haven't had any problems with it. Well maintained, original owners! Clean title in hand. Only reason for selling it is I want something with better gas mileage for my commute. Front bumper is bent down a little bit and there is a dent on the driver's side near the tailgate (see pics). I am willing to meet anywhere for convenience and am NEGOTIABLE ON PRICE. I'm aware it's an older truck with quite a few miles, but still is a very strong dependable truck. Just moved from Arkansas and didn't have any problems with a 2,000 mile drive. Best way to reach me during the day is email or text. ASKING 8,000 OBO don't be afraid to make me an offer. I WANT TO SELL so let's make a deal!! As always, CASH TALKS!  
Alex",,good,8 cylinders,4wd,gas,212000,black,full-size,clean,automatic,truck
https://seattle.craigslist.org/oly/ctd/d/2015-ford-escape-se-suv/6629599352.html,2015 Ford Escape SE SUV  - Lowest Price Guarantee Š“ÄŠ“Ä,2015 Ford Escape,Lowest Price Guarantee,,"White
        Gray
        GAS
        4WD
        AUTOMATIC 6-SPEED
        1.6L 4 cyls
        1FMCU9GX9FUC00364
        24161    
        
    
    
	
    
    
        
        
    
	
        
        
    
     
        
        _™– LOWEST PRICE GUARANTEED_™– FINANCING AVAILABLE_™– TAKE TRADES-IN -- BUY CARSŠ—_´Ù",1FMCU9GX9FUC00364,,4 cylinders,4wd,gas,24161,white,,clean,automatic,SUV
https://seattle.craigslist.org/sno/cto/d/1987-mercedes-benz-560sl/6629595152.html,1987 Mercedes-Benz 560SL,1987 mercedes-benz 560sl,Snohomish,20000,"This was my wife's Hawaii car.  The low miles are due to infrequent driving on her periodic visits to Maui. We brought it home and put new wheels and tires on it and had it tuned at the dealership in Lynnwood. You are welcome to pay to have the car inspected at the mechanic shop of your choice. I recommend this so you can be assured the vehicle has not been damaged. 
If you have questions, send them along.
The car runs well, is great fun and has been a joy to own. Now, we have five cars in the driveway and room for only three in the garage. To assuage the little woman, we got her a ML 350 for Valentine's Day.",4JGDA5HB0EA430772,excellent,8 cylinders,rwd,gas,66271,red,sub-compact,clean,automatic,convertible
https://seattle.craigslist.org/see/ctd/d/2012-jeep-grand-cherokee-suv/6629599419.html,Š_Š_ 2012 Jeep Grand Cherokee  SUV  Limited Sport Utility 4D,2012 Jeep Grand Cherokee,Get Our BEST PRICE NOW,21991,"Black
        Black
        GAS
        2WD
        AUTOMATIC, 5-SPD
        V8, 5.7 Liter
        1C4RJEBT1CC147875
        71256    
        
    
    
	
        
        www.legendautosales.com    
    
        
        
    
	
        
        
    
     
        
        Š“Ä Options for First Time BuyersŠ“Ä Our finance department has helped hundreds of clients obtain financing at reasonable terms.Š“Ä We take trade-ins
    
	
        
        Legendary Quality and Dependability from a dealer that gives you unsurpassed service and great value. Stop dreaming, start driving! Come check why our customers keep coming back to Legend Auto Sales. With over 300 Vehicles & 50 Lenders to choose from, your choice is Legend Auto Sales! Call us today (206) 451-7808!
    
    
        
            
            
            
    
	
        
        
    
        
Facebook Rating: Š_Š_Š_Š_Š_ 4.7 - 94 Votes         
Google Rating: Š_Š_Š_Š_Š_ 4.3 - 265 Reviews        
        
        
        
        
    
        
            All prices, sales prices and discounts are based on a one of a kind vehicle with matching VIN number and stock number. No money down financing is o.a.c. all prices are subject to change without notice. We make no express nor implied warranty claims on this vehicle to include availability, condition and equipment as advertised. Any advertised pricing, discounts or interest rates exclude tax, title, license and a negotiable dealer documentary service fee of up to $150 may be added to the sale price or capitalized cost. It is the sole responsibility of consumer to verify the existence, condition, equipment, pricing and discounts as advertised. Not all consumers will qualify for certain discounts, interest rates and allowances and all are subject to credit approval. This ad supersedes any and all ads before this date. Nothing contained herein is binding on either party.***** Standard text messaging rates may apply            
            
    
        
                Capital Dealer Solutions",1C4RJEBT1CC147875,,other,,gas,71256,black,,clean,automatic,SUV
https://seattle.craigslist.org/skc/ctd/d/2010-toyota-rav4-base/6629599337.html,2010 Toyota RAV4 Base,2010 Toyota RAV4 Base,"Count on us, for the Real Deal!",12950,"Come get a great deal on this . Great deals on great vehicles just like thisDear Customer, ’ÛŠ—_’äÎ¾Craigslist maintains their ads live for 30 days, we
            strongly recommend contacting the dealer for vehicle availability. Please contact dealer for latest pricing information.
            All vehicles are one of each. All Pre-Owned or Certified vehicles are Used. A dealer documentary service fee of up to
            $150 may be added to the sale price or capitalized cost. Vehicle price does not expire, and all financing is subject to
            credit approval. Prices exclude tax, title, and license. All transactions are negotiable including price, trade allowance,
            interest rate (of which the dealer may retain a portion), term and documentary service fee. Any agreement is subject to
             execution of contract documents. Every reasonable effort is made to ensure the accuracy of this data. Please verify any
             information in question with a dealership sales representative.",JTMBF4DV4A5034175,good,,,other,87943,,,clean,automatic,SUV
https://seattle.craigslist.org/see/ctd/d/4dr-sedan-cars-2017-nissan/6629599067.html,*4DR SEDAN CARS* 2017 *Nissan Altima* SV FWD,2017 Nissan Altima SV FWD gas Sedan,*4DR_SEDAN_CARS*_*Nissan*_*Altima*SV_FWD,16555,,1N4AL3AP4HC284340,,,fwd,gas,17138,silver,,clean,automatic,sedan
https://seattle.craigslist.org/see/ctd/d/2017-toyota-rav4-se-awd/6629598890.html,2017 Toyota RAV4 SE AWD,2017 Toyota RAV4 SE AWD,_Toyota_RAV4_,26987,"Come get a great deal on this . Great deals on great vehicles just like thisDear Customer, ’ÛŠ—_’äÎ¾Craigslist maintains their ads live for 30 days, we
            strongly recommend contacting the dealer for vehicle availability. Please contact dealer for latest pricing information.
            All vehicles are one of each. All Pre-Owned or Certified vehicles are Used. A dealer documentary service fee of up to
            $150 may be added to the sale price or capitalized cost. Vehicle price does not expire, and all financing is subject to
            credit approval. Prices exclude tax, title, and license. All transactions are negotiable including price, trade allowance,
            interest rate (of which the dealer may retain a portion), term and documentary service fee. Any agreement is subject to
             execution of contract documents. Every reasonable effort is made to ensure the accuracy of this data. Please verify any
             information in question with a dealership sales representative.",2T3JFREV2HW604586,good,,,gas,12417,,,clean,automatic,SUV
https://seattle.craigslist.org/skc/ctd/d/2016-jeep-patriot-high/6629599200.html,2016 Jeep Patriot High Altitude,2016 Jeep Patriot High Altitude,"Count on us, for the Real Deal!",16950,"Come get a great deal on this . Great deals on great vehicles just like thisDear Customer, ’ÛŠ—_’äÎ¾Craigslist maintains their ads live for 30 days, we
            strongly recommend contacting the dealer for vehicle availability. Please contact dealer for latest pricing information.
            All vehicles are one of each. All Pre-Owned or Certified vehicles are Used. A dealer documentary service fee of up to
            $150 may be added to the sale price or capitalized cost. Vehicle price does not expire, and all financing is subject to
            credit approval. Prices exclude tax, title, and license. All transactions are negotiable including price, trade allowance,
            interest rate (of which the dealer may retain a portion), term and documentary service fee. Any agreement is subject to
             execution of contract documents. Every reasonable effort is made to ensure the accuracy of this data. Please verify any
             information in question with a dealership sales representative.",1C4NJPFA4GD621188,good,,,other,35009,,,clean,other,SUV
https://seattle.craigslist.org/see/ctd/d/2017-acura-rdx-awd/6629599320.html,2017 Acura RDX AWD,2017 Acura RDX AWD,_Acura_RDX_,33877,"Come get a great deal on this . Great deals on great vehicles just like thisDear Customer, ’ÛŠ—_’äÎ¾Craigslist maintains their ads live for 30 days, we
            strongly recommend contacting the dealer for vehicle availability. Please contact dealer for latest pricing information.
            All vehicles are one of each. All Pre-Owned or Certified vehicles are Used. A dealer documentary service fee of up to
            $150 may be added to the sale price or capitalized cost. Vehicle price does not expire, and all financing is subject to
            credit approval. Prices exclude tax, title, and license. All transactions are negotiable including price, trade allowance,
            interest rate (of which the dealer may retain a portion), term and documentary service fee. Any agreement is subject to
             execution of contract documents. Every reasonable effort is made to ensure the accuracy of this data. Please verify any
             information in question with a dealership sales representative.",5J8TB4H3XHL023018,good,,,gas,5802,,,clean,automatic,SUV
https://seattle.craigslist.org/see/ctd/d/2017-acura-rdx-awd/6629599193.html,2017 Acura RDX AWD,2017 Acura RDX AWD,_Acura_RDX_,33907,"Come get a great deal on this . Great deals on great vehicles just like thisDear Customer, ’ÛŠ—_’äÎ¾Craigslist maintains their ads live for 30 days, we
            strongly recommend contacting the dealer for vehicle availability. Please contact dealer for latest pricing information.
            All vehicles are one of each. All Pre-Owned or Certified vehicles are Used. A dealer documentary service fee of up to
            $150 may be added to the sale price or capitalized cost. Vehicle price does not expire, and all financing is subject to
            credit approval. Prices exclude tax, title, and license. All transactions are negotiable including price, trade allowance,
            interest rate (of which the dealer may retain a portion), term and documentary service fee. Any agreement is subject to
             execution of contract documents. Every reasonable effort is made to ensure the accuracy of this data. Please verify any
             information in question with a dealership sales representative.",5J8TB4H31HL019911,good,,,gas,6023,,,clean,automatic,SUV
